"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=593&cropid=35&task=view","Sweet Orange","NGCS-00-5","Washington Navel","CIT/NH 5","High yielding, top fruit quality.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida, U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=594&cropid=35&task=view","Sweet Orange","NGCS-00-6","Hamlin","CIT/NH 6","High yielding, top fruit quality and early fruiting.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida, U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=595&cropid=35&task=view","Sweet Orange","NGCS-00-7","Pine apple","CIT/NH 7","High yielding, top fruit quality.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida, U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=596&cropid=35&task=view","Sweet Orange","NGCS-00-8","Lue-gim-gong","CIT/NH 8","High yielding, top fruit quality, late maturity.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida, U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=597&cropid=35&task=view","Sweet Orange","NGCS-00-9","Meran","CIT/NH 9","High yielding, top fruit quality with mid season fruiting.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","South-east, Nigeria","NIHORT","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=598&cropid=35&task=view","Sweet Orange","NGCS-00-10","Bende","CIT/NH 10","High yielding, top fruit quality.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","South-east, Nigeria","NIHORT","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=599&cropid=35&task=view","Sweet Orange","NGCS-00-11","Valencia","CIT/NH 11","High yielding, top fruit quality, late maturity.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida, U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=600&cropid=36&task=view","Tangelo","NGCS-00-12","Lake Tangelo","CIT/NH 12","High yielding, top quality.","Forest Transition/Derived Savanna, Southern and Guinea Savanna","Florida U.S.A","Florida Experimental station","NIHORT",NA,1986,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=65&cropid=3&task=view","Cowpea","NGVU 91-6","K-28","K-28","Very high swelling capacity of seed when cooked","All ecological zones","Nigeria (Local selection)","NCRI, Badeggi","O.A. Ojomo, S.O. Olafare, M.A. Adenihun & J.A. Raji",NA,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=66&cropid=3&task=view","Cowpea","NGVU 91-7","L25","L-25","Dry grains can be processed into canned beans.","All ecological zones","Nigeria (Local selection)","NCRI, Badeggi","S.O. Olafare, M.A. Adenihun & O.A. Ojomo",NA,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=67&cropid=3&task=view","Cowpea","NGVU 91-8","Ife Bimpe","Branching Peduncle 3 (BPC)","Semi Erect and uniform maturity, pods held above the canopy.","Derived Savanna and Forest Zones","Nigeria (Mutant ofIfe Brown)","IAR&T, Ibadan","Iyiola Fawole, N.O. Afolabi and J. A. Raji",NA,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=75&cropid=3&task=view","Cowpea","NGVU-96-16","IT81D-994","IT81D-994","Large seeds like local varieties with Bruchid resistance.",NA,"IITA Ibadan","IITA Ibadan","Dr. B.B. Sigh & Dr. K.J. Rodden.",NA,1985,1996,NA
