"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=666&cropid=3&task=view","Cowpea","NGVU-25-44","FUAMPEA 5 (ALKAM SUPER)","UAM15-2157-4","Light brown, large seed, and good adaptation to intercropping. (2.9t/ha)","Northern and Southern Guinea savannas ecologies","Joseph SarwuanTarka University Makurdi","Joseph SarwuanTarka University Makurdi; Joseph SarwuanTarka University Makurdi","L.O. Omoigui, G. Ekeruo, M.S. Ugbaa, A.Y. Kamara, O.O. Olufajo, N. Iyorkaa, A.S. Shaibu, T. Iorlamen, R. Solomon & M.P. Timko",2.9,2025,2025,2.9
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=673&cropid=4&task=view","Soybean","NGGM-25-27","NCRISOY 5M","TGx 2029-27F","Good pod clearance, high yielding, tolerance to cercospora leaf spot and bacterial pustule.(3.4t/ha)","Northern guinea savannas, derived savannas, southern guinea savannas ecologies","IITA, Ibadan","IITA, Ibadan & NCRI, Badeggi;","Abush T. Abebe, Godfree Chigeza, Adeyinka S. Adewumi, Shaahu Aondover, Dean Mungani, Hapson Mushoriwa, Omoigui L.O., Simon Imoro, Ibnou Deing, Solomon Ntukidem, Umar A.B., Moses Adebayo, Vange T., Nwosu D., Adetiloye I.S., Nnamani G.C., Ochigbo E.A & Okoh J.O.",3.4,2025,2025,3.3
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=674&cropid=4&task=view","Soybean","NGGM-25-28","NCRISOY 6M","TGx 2029-53F","Good pod clearance, high yielding, high protein content, tolerance to cercospora leaf spot and bacterial pustule.(3.3t/ha)","Northern guinea savannas, derived savannas, southern guinea savannas ecologies","IITA, Ibadan","IITA, Ibadan & NCRI, Badeggi;","Abush T. Abebe, Godfree Chigeza, Adeyinka S. Adewumi, Shaahu Aondover, Dean Mungani, Hapson Mushoriwa, Omoigui L.O., Simon Imoro, Ibnou Deing, Solomon Ntukidem, Umar A.B., Moses Adebayo, Vange T., Nwosu D., Adetiloye I.S., Nnamani G.C., Ochigbo E.A & Okoh J.O.",3.3,2025,2025,4.12
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=678&cropid=5&task=view","Forage Legume","NGMP 25-10","Skika Legume 1","Velvet Bean","High dry matter yield and protein content. (5.01t/ha)","Northern guinea and Sudan savannah ecologies","Southern China and Eastern India","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",5.01,2025,2025,11.1
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=679&cropid=5&task=view","Forage Legume","NGLP 25-11","Shika Legume 2","White Lablab","High dry matter yield and protein content. (4.12t/ha)","Northern guinea, Sudan and Sahel savannah ecologies","South and East Africa","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",4.12,2025,2025,10.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=680&cropid=7&task=view","Maize","NGZM-25-205","ETG M401","ETG M401","High grain yield and good standability. (10.2t/ha)","Guinea and Sudan Savanna ecologies","ETG Input Nigeria Ltd.","ETG Input Nigeria Ltd.; IAR, Samaru, Zaria","Madan Maurya, M. Oyekunle, G. Ogu, S.G. Ado, I.S. Usman, H. Mani & Y.U. Oladimeji",10.2,2025,2025,10.6
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=681&cropid=7&task=view","Maize","NGZM-25-206","ETG M601","ETG M601","High grain yield and good standability. (11.1t/ha)","Guinea and Sudan Savanna ecologies","ETG Input Nigeria Ltd.","ETG Input Nigeria Ltd.; IAR, Samaru, Zaria","Madan Maurya, M. Oyekunle, G. Ogu, S.G. Ado, I.S. Usman, H. Mani & Y.U. Oladimeji",11.1,2025,2025,4.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=682&cropid=7&task=view","Maize","NGZM-25-207","SAMMAZ 77","A2326-1","Tolerance to multiple stresses (Striga hermonthica, drought and fall armyworm) and high grain yield. (10.8t/ha)","Northern and Southern Guinea Savanna ecologies","IITA, Ibadan","IITA, Ibadan; IAR, Samaru, Zaria","A. Menkir, M. Oyekunle, S.G. Ado, S. Silvestro, W. Mengasa, Z. Saminu, F. Bankole, A. Kamara, I.S. Usman, H. Mani, Y.U. Oladimeji & H. Abubakar",10.8,2025,2025,4.7
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=683&cropid=7&task=view","Maize","NGZM-25-208","SC 451","19C11934","Extra-earliness, good standability, and high grain yield. (10.8t/ha)","Guinea and Sudan Savannah ecologies","Seed Co Ltd., Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, T. Kusada, V.O. Oladipo, M. Oyekunle, A. Chikoshana, A. Sani, R. Ogoyi & E. Ajeh",10.8,2025,2025,9.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=684&cropid=7&task=view","Maize","NGZM-25-209","SC 563","16C34878","Early maturity, good standability, and high grain yield. (10.8t/ha)","Guinea Savannah ecologies","Seed Co Ltd., Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, T. Kusada, V.O. Oladipo, M. Oyekunle, A. Chikoshana, A. Sani, R. Ogoyi & E. Ajeh",10.8,2025,2025,13.9
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=685&cropid=7&task=view","Maize","NGZM-25-210","SC 618","18C2450","Medium maturity, good standability, husk cover and high grain yield. (10.6t/ha)","Guinea and Sudan Savannah ecologies","Seed Co Ltd., Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, T. Kusada, V.O. Oladipo, M. Oyekunle, A. Chikoshana, A. Sani, R. Ogoyi & E. Ajeh",10.6,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=730&cropid=8&task=view","Pearl Millet","NGPG-25-16","LCIC MH2","LCMH20-1","Early maturity, high grain yield and high zinc. (4.8t/ha)","Sudano Sahelian ecologies","ICRISAT","ICRISAT & LCRI, Maiduguri, Nigeria;","M.A. Dawud, I.I. Angarawai, I. Drabo, R. Mohammed, K.K. Mala, Y. Yakubu, B.G.J. Kabir, A.S. Wali, Z.G.S. Turaki, J. Umar, D. Puozaa, J. Jonah",4.8,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=731&cropid=8&task=view","Pearl Millet","NGPG-25-17","LCIC MH3","LCMH20-14","High grain yield and high Fe and Zn (4.8t/ha)","Sudano Sahelian ecologies","ICRISAT","ICRISAT & LCRI, Maiduguri, Nigeria;","M.A. Dawud, I.I. Angarawai, I. Drabo, R. Mohammed, K.K. Mala, Y. Yakubu, B.G.J. Kabir, A.S. Wali, Z.G.S. Turaki, J. Umar, D. Puozaa, J. Jonah",4.8,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=732&cropid=8&task=view","Pearl Millet","NGPG-25-18","LCIC MH4","LCMH20-23","High yielding and high Fe and Zn (4.7t/ha)","Sudano Sahelian ecologies","ICRISAT","ICRISAT & LCRI, Maiduguri, Nigeria;","M.A. Dawud, I.I. Angarawai, I. Drabo, R. Mohammed, K.K. Mala, Y. Yakubu, B.G.J. Kabir, A.S. Wali, Z.G.S. Turaki, J. Umar, D. Puozaa, J. Jonah",4.7,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=733&cropid=8&task=view","Pearl Millet","NGPG-25-19","LCIC MH5","LCMH20-27","High yielding and high Zn (4.7t/ha)","Sudano Sahelian ecologies","ICRISAT","ICRISAT & LCRI, Maiduguri, Nigeria;","M.A. Dawud, I.I. Angarawai, I. Drabo, R. Mohammed, K.K. Mala, Y. Yakubu, B.G.J. Kabir, A.S. Wali, Z.G.S. Turaki, J. Umar, D. Puozaa, J. Jonah",4.7,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=737&cropid=9&task=view","Rice","NGOS-25-82","FARO 71","BRRI DHAN 74","High yiedling and high Zinc content (24.18mg). (9.6t/ha)","Savanna and Rainforest ecologies","Bangladesh Rice Research Institute (BRRI)","Bangladesh Rice Research Institute (BRRI); National Rice and Maize Centre, Ibadan; ADP Niger, Oyo & FCT; Centre for Dryland Agriculture, Bayero University, Kano; Foreign Commonwealth and Development Office; Alliance for Green Revolution in Africa (AG","Alangir Hossain, Partha S.B, Abdul Kadel, Muhammed L., Isong, A.E., Bashir, M., Shaib, A.S., Muhammed, I.O., Audu, S.O., Salihu, A., Gbadeyan, S.T., Ajaye, O.F. & Muhammed, A.",9.6,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=738&cropid=9&task=view","Rice","NGOS-25-83","FARO 72","BRRI DHAN 100","High yiedling, medium slender grain and high Zinc content (25.2mg/kg). (9.8t/ha)","Savanna and Rainforest ecologies","Bangladesh Rice Research Institute (BRRI)","Bangladesh Rice Research Institute (BRRI); National Rice and Maize Centre, Ibadan; ADP Niger, Oyo & FCT; Centre for Dryland Agriculture, Bayero University, Kano; Foreign Commonwealth and Development Office; Alliance for Green Revolution in Africa (AG","Alangir Hossain, Partha S.B, Abdul Kadel, Muhammed L., Isong, A.E., Bashir, M., Shaib, A.S., Muhammed, I.O., Gbadeyan, S.T., Apuyor, B., & Audu, S.D.",9.8,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=739&cropid=9&task=view","Rice","NGOS-25-84","ADV 8200","PAC 801","High yielding, high milling recovery (71.15%), medium duration. (13.8t/ha)","Savanna and Rainforest ecologies","Advanta Enterprise Limited, India","Advanta Enterprise Limited, India; NCRI, Badeggi; ADPs Niger & Oyo.","Shindu, I., Bashir, M., Muhammed M.L., Isong, A.E., Ajaye, O.J., Salihu, A., Orolakin, O.G., Mohammed, I.G., Gbadeyan, S.T. & Apuyor, B.F.",13.8,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=740&cropid=9&task=view","Rice","NGOS-25-85","Swarna 2","ADV 8744+","High yielding, high head rice yield (52.15%) and medium duration. (13.9t/ha)","Savanna and Rainforest ecologies","Advanta Enterprise Limited, India","Advanta Enterprise Limited, India; NCRI, Badeggi; ADPs Niger & Oyo.","Shindu, I., Bashir, M., Muhammed M.L., Isong, A.E., Ajaye, O.J., Orolakin, O.G., Mohammed, I.G., Gbadeyan, S.T. & Apuyor, B.F.",13.9,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=749&cropid=11&task=view","Sesame","NGSI-25-6","NCRIBEN-06E","04E-550-G3-3","High yield and high oil content 56% (2.0t/ha)","Savannah ecologies","NCRI, Badeggi","FUT, Minna;","M. Liman, Ismaila Abubakar, O.A. Falusi, A. Kabir, M.A. Audu, A.A. Gado, Usman Aliyu, Mohammed K. Musa, H. Shehu, S. Salihu & I. Yusuf.",2,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=750&cropid=11&task=view","Sesame","NGSI-25-7","NCRIBEN-07E","04E-550-G1-3","High yield (2.3t/ha)","Savannah ecologies","NCRI, Badeggi","FUT, Minna;","M. Liman, Ismaila Abubakar, O.A. Falusi, A. Kabir, M.A. Audu, A.A. Gado, Usman Aliyu, Mohammed K. Musa, H. Shehu, S. Salihu & I. Yusuf.",2.3,2025,2025,2.3
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=755&cropid=14&task=view","Tomato","NGLE -25 -23","HORTITOM 4","NHTo10-1","Tolerant to bacterial wilt, high yield potential, medium maturity (80-90 days), good fruit quality, good adaptation to open field rainfed cultivation, and irrigated system. (27.2t/ha)","Rainforest, derived guinea and Sudan savanna ecologies","NIHORT","NIHORT;","Anyaoha Christian O., Oguntolu O.O., Okoyo M.E., Ikoro J.I., Ibitoye d.O., Uterdzua O., Hamisu H.S., Akinyode E.T., Adetula O.A., Fajimi O.B., Abdul- Rafiu A.M., Elum C.G., Olajide-Taiwo, F.B., Adesegun E.A., Osuji E.M. & Attanda M.L.",27.2,2025,2025,21.7
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=756&cropid=14&task=view","Tomato","NGLE -25 -24","HORTITOM 5","NHTo180-1","Tolerant to bacterial wilt, medium maturity (80-90 days), good fruit quality, good adaptation to open field rainfed cultivation, and irrigated system. (21.7t/ha)","Rainforest, derived guinea and Sudan savanna ecologies","NIHORT","NIHORT;","Anyaoha Christian O., Oguntolu O.O., Okoyo M.E., Ikoro J.I., Ibitoye d.O., Uterdzua O., Hamisu H.S., Akinyode E.T., Adetula O.A., Fajimi O.B., Abdul- Rafiu A.M., Elum C.G., Olajide-Taiwo, F.B., Adesegun E.A., Osuji E.M. & Attanda M.L.",21.7,2025,2025,7.5
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=762&cropid=15&task=view","Wheat","NGTT-25-24","SC W9103","W1780-6-1","Heat tolerance, high yielding, high flour yield and quality. (8.2t/ha)","Sahel, Sudan & Northern guinea savanna","Seed Co Limited","Seed Co Limited; Lake Chad Research Institute, Maiduguri","Ephrame Havazvidi, T. Soko, V.O. Oladipo, K.K. Mala, M.A. Dawud, Y. Yakubu, A. Ahmed, G. Mabuyaye, B.G.J. Kabir, Z.G.S. Turaki, O.G. Olabanji, J. Umar & A. Kyari",8.2,2025,2025,20.11
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=763&cropid=15&task=view","Wheat","NGTT-25-25","SC W9105","WZ4153-6-23","Heat tolerance, high yielding, high flour yield and quality. (7.5t/ha)","Sahel, Sudan & Northern guinea savanna","Seed Co Limited","Seed Co Limited; Lake Chad Research Institute, Maiduguri","Ephrame Havazvidi, T. Soko, V.O. Oladipo, K.K. Mala, M.A. Dawud, Y. Yakubu, A. Ahmed, G. Mabuyaye, B.G.J. Kabir, Z.G.S. Turaki, O.G. Olabanji, J. Umar & A. Kyari",7.5,2025,2025,3.6
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=764&cropid=15&task=view","Wheat","NGTT-25-26","SC W9106","W1708-6-1","Heat tolerance, high yielding, high flour yield and quality. (7.5t/ha)","Sahel, Sudan & Northern guinea savanna","Seed Co Limited","Seed Co Limited; Lake Chad Research Institute, Maiduguri","Ephrame Havazvidi, T. Soko, V.O. Oladipo, K.K. Mala, M.A. Dawud, Y. Yakubu, A. Ahmed, G. Mabuyaye, B.G.J. Kabir, Z.G.S. Turaki, O.G. Olabanji, J. Umar & A. Kyari",7.5,2025,2025,4.3
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=779&cropid=22&task=view","Pepper","NGCF- 25-10","HORTIPEP 1","NB","Very high pungency, aromatic and high yield potential. (20.11t/ha)","Rainforest, derived savanna, guinea and sudan savanna ecologies","NIHORT","NIHORT;","Anyaoha Christian O., Habu Saleh Hamisu, Oyedeji E., Arogundade O., Abdul- Rafiu A.M., Badmus M.A., Aminu-Taiwo B., Akinpelu C.a., Ademoyegun O.T., Akinkunmi O.Y., Osuji E.M., Fariyike T.A., Akintoye H.A. & Attanda M.I.",20.11,2025,2025,25.5
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=780&cropid=22&task=view","Pepper","NGCF- 25-11","HORTIPEP 2","90DG","Medium maturity, very high pungency, aromatic and high yield potential. (18.6t/ha)","Rainforest, derived and northern guinea savanna ecologies","NIHORT","NIHORT;","Anyaoha Christian O., Habu Saleh Hamisu, Oyedeji E., Arogundade O., Abdul- Rafiu A.M., Badmus M.A., Aminu-Taiwo B., Akinpelu C.a., Ademoyegun O.T., Akinkunmi O.Y., Osuji E.M., Fariyike T.A., Akintoye H.A. & Attanda M.I.",18.6,2025,2025,19.3
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=793&cropid=42&task=view","Barley","NGHV-25-04","LACRISAMBARLE Y 4","C17-295-016","High grain yield and protein content (18.80%). (3.6t/ha)","Guinea Savanna and mid-altitude ecologies","General Mills, Inc., USA","Context Global Development and IAR Samaru, Zaria; Lake Chad Research Institute, Maiduguri","Eric Jackson, M. Oyekunle, R.O. Abdulmalik, K.K. Mala, Mark Nelson, Will Rogens, A.I. Gabasawa, H.N. Kura & Y. Hussani",3.6,2025,2025,32.5
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=794&cropid=42&task=view","Barley","NGHV-25-05","LACRISAMBARLE Y 5","C17-295-069","High grain yield, Tillering capacity and protein content (15.25%). (4.9t/ha)","Sudan Savanna and mid-altitude ecologies","General Mills, Inc., USA","Context Global Development and IAR Samaru, Zaria; Lake Chad Research Institute, Maiduguri","Eric Jackson, M. Oyekunle, R.O. Abdulmalik, K.K. Mala, Mark Nelson, Will Rogens, A.I. Gabasawa, H.N. Kura & Y. Hussani",4.9,2025,2025,48.55
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=795&cropid=42&task=view","Barley","NGHV-25-06","LACRISAMBARLE Y 6","C17-295-070","High grain yield and ash content (2.40%). (4.3t/ha)","Northern Guinea Savanna and mid-altitude ecologies","General Mills, Inc., USA","Context Global Development and IAR Samaru, Zaria; Lake Chad Research Institute, Maiduguri","Eric Jackson, M. Oyekunle, R.O. Abdulmalik, K.K. Mala, Mark Nelson, Will Rogens, A.I. Gabasawa, H.N. Kura & Y. Hussani",4.3,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=801&cropid=44&task=view","Shika Grass","NGBR 25-12","Shika Grass 1","Brachiaria 1, Ruzi grass","High crude fibre and nutrient content. (12.23t/ha)","Northern guinea, Southern guinea and Sudan savanna ecologies","Southern America","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",12.23,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=802&cropid=44&task=view","Shika Grass","NGCG 25-13","Shika Grass 2","Rhode grass","High dry matter yield. (25.50t/ha)","Guinea savanna, Sahel savanna and Forest ecologies","Zimbabwe","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",25.5,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=803&cropid=44&task=view","Shika Grass","NGSA 25-14","Shika Grass 3","Sudan grass","High crude fibre and nutrient content. (19.50t/ha)","Guinea and Sudan savanna ecologies","Argentina","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",19.5,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=804&cropid=44&task=view","Shika Grass","NGAG 25-15","Shika Grass 4","Northern Gamba","High crude fibre and nutrient content. (19.30t/ha)","Sudan and Northern guinea savanna ecologies","Nigeria","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",19.3,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=805&cropid=44&task=view","Shika Grass","NGPM 25-16","Shika Grass 5","Mumbasa grass","High dry matter yield. (42.50t/ha)","Southern and Northern guinea savanna ecologies","South America","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",42.5,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=806&cropid=44&task=view","Shika Grass","NGPP 25-17","Shika Grass 6","Hybrid Napier/Elephant grass","High dry matter yield. (32.50t/ha)","Southern, Northern savanna and Forest zones ecologies","Thailand","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",32.5,2025,2025,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=661&cropid=1&task=view","Cassava","NGME-24-55","UMUCASS 55 (Renewed Hope)","TMS14F1036P00 07","Good plant architecture, high yielding (45.7t/ha), and high dry matter content (37%)","Humid Forest, Derived Savanna and Guinea Savanna.","IITA, Ibadan","NRCRI, Umudike & IITA, Ibadan;","C.N. Egesi, F. Okeakpu, D. Njoku, L. Jiwuba, P. Kulakow, U.O. Ekanem, E.G. Mbanjo, E. Parkes, I.Y. Rabbi, J. Onyeka, B. Teeken, T. Madu, P. Iluebbey, A.S. Ikpan, B. Abolore, U. Chijioke, O.D. Nwanze, S. Onwuka & M. Diebiru- Ojo",45.7,2024,2024,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=662&cropid=1&task=view","Cassava","NGME-24-56","UMUCASS 56 (Biggie)","TMS17F1387P00 08","High vigorous, high yield (48.55t/ha), good plant architecture for mechanization and high- density planting, slightly poundable, high dry matter (36.6%) and starch content (28.8%). (48.6t/ha)","Humid Forest, Derived Savanna and Guinea Savanna.","IITA, Ibadan","NRCRI, Umudike & IITA, Ibadan;","C.N. Egesi, F. Okeakpu, D. Njoku, L. Jiwuba, P. Kulakow, U.O. Ekanem, E.G. Mbanjo, E. Parkes, I.Y. Rabbi, J. Onyeka, B. Teeken, T. Madu, P. Iluebbey, A.S. Ikpan, B. Abolore, U. Chijioke, O.D. Nwanze, S. Onwuka, M. Diebiru- Ojo, B. Okoye & P. Peteti",48.6,2024,2024,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=686&cropid=7&task=view","Maize","NGZM-24-191","SAMMAZ 70","EEPVAH-96","High provitamin A content (17.2 mg/g DW). (7.6t/ha)","Northern Guinea and Sudan Savanna ecologies","IITA, Ibadan","IITA, Ibadan; IAR, Samaru, Zaria","B. Badu-Apraku, M. Oyekunle, S.G. Ado, F. Bankole, Z. Saminu, A. Masari, I. Adejumobi, I.S. Usman, H. Mani & Y.U. Oladimeji",7.6,2024,2024,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=687&cropid=7&task=view","Maize","NGZM-24-192","SAMMAZ 71","22A10571B","Resistance to aflatoxin B and high grain yield(10t/ha)","Northern and Southern Guinea Savanna ecologies","IITA, Ibadan","IITA, Ibadan; IAR, Samaru, Zaria","A. Menkir, M. Oyekunle, S. Meseka, W. Mengesha, S.G. Ado, Z. Saminu, I.S. Usman, H. Mani, H. Abubakar and Y.U. Oladimeji",10,2024,2024,10
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=688&cropid=7&task=view","Maize","NGZM-24-193","Hybrid 68","Champion Gold 68","High grain yield, good standability and tolerance to major foliar diseases(11.0 t/ha)","Northern Guinea and Sudan Savanna ecologies","Monsipo Seeds Private Limited","Monsipo Seeds Private Limited; IAR, Samaru, Zaria","R. Nanda Kumar, M. Oyekunle, P. Ramakrishna Reddy, B. Bankole-Manuel, I.S. Usman and H. Mani",11,2024,2024,11
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=689&cropid=7&task=view","Maize","NGZM-24-194","SC 417","SC 417","Early maturity, good standability and high yield(11 t/ha)","Guinea and Sudan Savannah ecologies","Seed Co Ltd, Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, E. Tembo and V.O. Oladipo, M. Oyekunle, A. Sani, R. Ogoyi, E. Ajeh and A. Chikoshana",11,2024,2024,10
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=690&cropid=7&task=view","Maize","NGZM-24-196","Kabamanoj","Kabamanoj","High yield, drought tolerance, stay-green, standability(11.8 t/ha)","Rain Forest, Guinea and Sudan Savanna agro ecologies","UPL India","UPL India; IAR, Samaru, Zaria","UPL India, M.A. Yahaya, A. Job, K. Reddy, G. Orolakin, I. Iseghohi and F. A. Bankole",11.8,2024,2024,9.4
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=691&cropid=7&task=view","Maize","NGZM-24-197","Golden MH1-W","EXP WHITE SINGLE TH 13","Good milling quality and high yield(10 t/ha)","Guinea and sudan Savanna agro-ecologies","Hytech Seed International","Hytech Seed international, Egypt; IAR, Samaru, Zaria","Hytech Seed International, A. Job, M.A. Yahaya, S. Ameh, O. Falade, S. Usman, I. Iseghohi, A. Abe and F.A. Bankole",10,2024,2024,10.2
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=692&cropid=7&task=view","Maize","NGZM-24-198","Golden MH2-Y","EXP YELLOW SINGLE TH 15","Good milling quality, high yield, stand establishment(8.9 t/ha)","Guinea and Sudan Savanna agro- ecologies","Hytech Seed International","Hytech Seed international, Egypt; IAR, Samaru, Zaria","Hytech Seed International, A. Job, M.A. Yahaya, S. Ameh, O. Falade, S. Usman, I. Iseghohi, A. Abe and F.A. Bankole",8.9,2024,2024,8.5
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=693&cropid=7&task=view","Maize","NGZM-24-199","SAMMAZ 72T","WE2272BII","Resistance to fall armyworm, good standability and high grain yield(9.4 t/ha)","Guinea and Sudan Savanna ecologies","African Agricultural Technology Foundation (AATF)/TELA, KENYA","Bayer Crop Science, Isando, South Africa, IAR, Samaru, Zaria, CIMMYT, Nairobi, Kenya, AATF, ILRI Kenya; IAR, Samaru, Zaria","E.Ndou, M. Oyekunle, Y. Beyene, R. S. Adamu, M. Abdulmalik and S.O. Oikeh",9.4,2024,2024,9.9
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=694&cropid=7&task=view","Maize","NGZM-24-200","SAMMAZ 73T","WE2279BII","Resistance to fall armyworm, high grain yield, good standability and most stable(10.4 t/ha)","Rain forest and Guinea Savanna ecologies","African Agricultural Technology Foundation (AATF)/TELA, KENYA","Bayer Crop Science, Isando, South Africa, IAR, Samaru, Zaria, CIMMYT, Nairobi, Kenya, AATF, ILRI Kenya; IAR, Samaru, Zaria","E.Ndou, M. Oyekunle, Y. Beyene, R. S. Adamu, M. Abdulmalik and S.O. Oikeh",10.4,2024,2024,11.7
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=695&cropid=7&task=view","Maize","NGZM-24-201","SAMMAZ 74T","WE2251BII","Resistance to fall armyworm, high grain yield, excellent stay- green characteristic and large kernel size(10.2 t/ha)","Guinea and Sudan Savanna ecologies","African Agricultural Technology Foundation (AATF)/TELA, KENYA","Bayer Crop Science, Isando, South Africa, IAR, Samaru, Zaria, CIMMYT, Nairobi, Kenya, AATF, ILRI Kenya; IAR, Samaru, Zaria","E.Ndou, M. Oyekunle, Y. Beyene, R. S. Adamu, M. Abdulmalik and S.O. Oikeh",10.2,2024,2024,11.8
