population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),25349,Plateau,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,677.1536295,1331.201537,253.0120535
1,All Population,2,DALYs (Disability-Adjusted Life Years),25351,Sokoto,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,91.44852258,137.6872225,55.56620417
1,All Population,2,DALYs (Disability-Adjusted Life Years),25351,Sokoto,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,931.6947086,1567.432585,433.2583922
1,All Population,2,DALYs (Disability-Adjusted Life Years),25334,Imo,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,8.280002242,13.59893845,4.735976732
1,All Population,2,DALYs (Disability-Adjusted Life Years),25334,Imo,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,567.452844,1164.838849,215.804008
1,All Population,2,DALYs (Disability-Adjusted Life Years),25347,Osun,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,15.79920524,23.41129168,9.266201569
1,All Population,2,DALYs (Disability-Adjusted Life Years),25347,Osun,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,630.2698787,1248.690715,252.8684132
1,All Population,2,DALYs (Disability-Adjusted Life Years),25337,Kano,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,46.03723815,69.034877,27.5635713
1,All Population,2,DALYs (Disability-Adjusted Life Years),25337,Kano,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,843.7469761,1504.632949,361.8269744
1,All Population,2,DALYs (Disability-Adjusted Life Years),25324,Benue,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,20.05591252,32.7450108,11.38244321
1,All Population,2,DALYs (Disability-Adjusted Life Years),25324,Benue,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,446.6736422,896.416694,166.3233495
1,All Population,2,DALYs (Disability-Adjusted Life Years),25322,Bauchi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,78.22942167,119.8082701,46.64704594
1,All Population,2,DALYs (Disability-Adjusted Life Years),25322,Bauchi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,967.5227469,1690.255649,398.1240528
1,All Population,2,DALYs (Disability-Adjusted Life Years),25336,Kaduna,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,33.50760482,53.18921402,18.73199738
1,All Population,2,DALYs (Disability-Adjusted Life Years),25336,Kaduna,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,650.7480604,1333.758684,229.0149272
1,All Population,2,DALYs (Disability-Adjusted Life Years),25326,Cross River,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,16.47669047,27.04547403,9.29501956
1,All Population,2,DALYs (Disability-Adjusted Life Years),25326,Cross River,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,602.434046,1169.795461,194.6853546
1,All Population,2,DALYs (Disability-Adjusted Life Years),25328,Ebonyi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,20.54583752,35.2314626,11.45352685
1,All Population,2,DALYs (Disability-Adjusted Life Years),25328,Ebonyi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,990.6559989,1608.82509,528.2608572
