state,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
17. Jigawa,Yam,1.34691756317873,1.34691756317873,1.34691756317873
18. Kaduna,Cassava,27.999120471043735,33.547489982632634,41.756430805970005
18. Kaduna,Cocoyam,0.5336086857649773,0.5336086857649773,0.5336086857649773
18. Kaduna,Cowpea,8.720896112817565,8.720896112817565,8.720896112817565
18. Kaduna,Groundnut,0.4280920464021244,0.44192214050095935,0.4557522345997943
18. Kaduna,Maize,30.300616643411992,32.3631041404357,34.843265213038165
18. Kaduna,Millet,3.982084282667284,3.982084282667284,3.982084282667284
18. Kaduna,Plantain,0.723845906629042,0.723845906629042,0.723845906629042
18. Kaduna,Potato,0.7049036417560685,0.7049036417560685,0.7049036417560685
18. Kaduna,Rice,23.004044852113637,23.004044852113637,23.004044852113637
18. Kaduna,Sorghum,9.542220203675951,9.542220203675951,9.542220203675951
18. Kaduna,Soybean,2.4707797599366628,2.4707797599366628,2.4707797599366628
18. Kaduna,Sweet potato,8.164333315437977,8.164333315437977,8.164333315437977
18. Kaduna,Wheat,0.05079931907694686,0.05682635693353378,0.059839875861827235
18. Kaduna,Yam,18.253304348911637,18.288664996783698,18.332276462492572
19. Kano,Cassava,30.235636173254964,33.80557039873973,39.098686035675684
19. Kano,Cocoyam,0,0,0
19. Kano,Cowpea,7.1889331646706225,7.1889331646706225,7.1889331646706225
19. Kano,Groundnut,0.477847133894847,0.48941669671236476,0.5009862595298826
19. Kano,Maize,24.747946900501674,25.262371245900425,25.888052803360637
19. Kano,Millet,11.719156458538338,11.719156458538338,11.719156458538338
19. Kano,Plantain,0.04450655228439616,0.04450655228439616,0.04450655228439616
19. Kano,Potato,0.09466243875071602,0.09466243875071602,0.09466243875071602
19. Kano,Rice,22.04963810194831,22.04963810194831,22.04963810194831
19. Kano,Sorghum,42.65746359722695,42.65746359722695,42.65746359722695
19. Kano,Soybean,1.7584772120996985,1.7584772120996985,1.7584772120996985
19. Kano,Sweet potato,1.0894547286202232,1.0894547286202232,1.0894547286202232
19. Kano,Wheat,1.5353248135642765,1.7174819948346145,1.8085605854697833
19. Kano,Yam,2.2782681503655042,2.2782681503655042,2.2782681503655042
2. Adamawa,Cassava,24.64364658901003,25.352748689453076,26.352234561504826
2. Adamawa,Cocoyam,0.43101771297830044,0.43101771297830044,0.43101771297830044
2. Adamawa,Cowpea,7.4526847604189745,7.4526847604189745,7.4526847604189745
2. Adamawa,Groundnut,1.8725902994769028,1.8895981281439087,1.9066059568109148
2. Adamawa,Maize,35.72153557211231,38.170941411743186,41.14094458128435
2. Adamawa,Millet,0.5167604215303606,0.5167604215303606,0.5167604215303606
2. Adamawa,Plantain,0.0020966365640844413,0.0020966365640844413,0.0020966365640844413
2. Adamawa,Potato,0.09335639179933894,0.09335639179933894,0.09335639179933894
2. Adamawa,Rice,16.139493819654064,16.139493819654064,16.139493819654064
2. Adamawa,Sorghum,16.687161492998232,16.687161492998232,16.687161492998232
2. Adamawa,Soybean,0.5384239152622444,0.5384239152622444,0.5384239152622444
2. Adamawa,Sweet potato,7.99786373433053,7.99786373433053,7.99786373433053
2. Adamawa,Wheat,0.00352447478822184,0.003942632813943076,0.004151711826803693
2. Adamawa,Yam,16.0174002784941,16.0174002784941,16.0174002784941
20. Katsina,Cassava,67.07010794573124,76.35759034838888,89.87874429226405
20. Katsina,Cocoyam,0.8524592147360764,0.8524592147360764,0.8524592147360764
20. Katsina,Cowpea,10.264384803897014,10.264384803897014,10.264384803897014
20. Katsina,Groundnut,0.34174137095680734,0.355191617372721,0.3686418637886346
20. Katsina,Maize,31.190419165804094,33.017478966615876,35.246923649728096
20. Katsina,Millet,18.276367377267253,18.276367377267253,18.276367377267253
20. Katsina,Plantain,0.2838648398463894,0.2838648398463894,0.2838648398463894
20. Katsina,Potato,0.46880465375236946,0.46880465375236946,0.46880465375236946
20. Katsina,Rice,24.167321003365448,24.167321003365448,24.167321003365448
