zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
1. North Central,Ogbono - ground,0.001938928767891702,9.195026925850909e-4,0.0010194260753066111,2.10867111486166
1. North Central,Ogbono - unground,7.841734270513937e-4,0.001199525016759395,-4.153515897080013e-4,0.6537366174903929
1. North Central,Okra - dried,0.00853676931345973,0.003113339355668975,0.005423429957790755,2.741997687439827
1. North Central,Okra - fresh,0.02892440893512825,0.08297201464926686,-0.05404760571413861,0.34860439459491693
1. North Central,Onions,0.11764495046797188,0.16904347248644314,-0.051398522018471254,0.6959449468089146
1. North Central,Orange/Tangerine,0.04522274877038377,0.08707137965180647,-0.0418486308814227,0.5193755853097423
1. North Central,Other alcoholic beverages,0,4.016439843942808e-4,-4.016439843942808e-4,0
1. North Central,Other domestic poultry,0,0,0,NA
1. North Central,Other eggs,1.708095909145489e-5,0,1.708095909145489e-5,NA
1. North Central,Other fish/seafood,0,0,0,NA
1. North Central,Other fruits,5.357696513852814e-5,0,5.357696513852814e-5,NA
1. North Central,Other grains/flour,6.6189734214146155e-6,0.0014734379246883773,-0.0014668189512669627,0.004492196997586096
1. North Central,Other meat,6.261488885931671e-5,0,6.261488885931671e-5,NA
1. North Central,Other milk products,NA,2.666265608604718e-4,NA,NA
1. North Central,Other non-alcoholic drinks,0,5.289986833132195e-4,-5.289986833132195e-4,0
1. North Central,Other nuts/seeds/pulses,0,2.864710018239392e-4,-2.864710018239392e-4,0
1. North Central,Other oil/fat,0,0,0,NA
1. North Central,Other roots/tubers,NA,0,NA,NA
1. North Central,Other spices,0.010893232489434908,0.005833985368783656,0.005059247120651252,1.867202572656789
1. North Central,Other sweets,NA,6.818506068721248e-6,NA,NA
1. North Central,Other vegetables,0,7.486051120709848e-4,-7.486051120709848e-4,0
1. North Central,Palm oil,0.12002960567167759,0.1730239661361217,-0.05299436046444411,0.6937166471912203
1. North Central,Palm wine,0.004353485281703091,0.00399563862676791,3.5784665493518095e-4,1.0895593141326307
1. North Central,Pawpaw,0.02891380372556844,0.002698938071494757,0.026214865654073684,10.713029702661931
1. North Central,Pineapples,0.024487648415785403,0.01867679797662084,0.005810850439164562,1.311126695616585
1. North Central,Pito,0.027149313774845574,0.0030707986749497233,0.02407851509989585,8.841124622176697
1. North Central,Plantains,0.019302829044060003,0.026755407347273216,-0.007452578303213213,0.721455248037076
1. North Central,Pork,0.004880232477403029,0.005727890896626605,-8.476584192235754e-4,0.8520121219971566
1. North Central,Potatoes,0.02359567815370391,0.07415899020673959,-0.050563312053035686,0.31817690731661996
1. North Central,Rice - imported,0.024631380981736218,0.04268580709133793,-0.01805442610960171,0.5770391298688733
