survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Cassava flour,1. North Central,0.16547396003164255,0.018261615143451444,0.11035944954698243,0.12968119435047773,0.20126672571280738,8.62828505879279
Post-Planting,Cassava roots,1. North Central,0.5306293749701553,0.1075864141521403,0.20275246570771058,0.3197600032319603,0.7414987467083503,27.66853169487238
Post-Planting,Cheese/wara,1. North Central,0.005589582286116871,0.001428482977342444,0.255561668872903,0.0027897556505256807,0.008389408921708062,0.2914567906332368
Post-Planting,Chicken,1. North Central,0.028717804887515914,0.004601782440921876,0.1602414411180272,0.019698311303309037,0.03773729847172279,1.497428397706187
Post-Planting,Chocolate drinks,1. North Central,0.0026232660784097704,5.056137518124572e-4,0.19274207674692356,0.0016322631248573544,0.003614269031962186,0.13678458837422375
Post-Planting,Coconut,1. North Central,0.0032965748017389288,0.0011022372126520171,0.3343583200571065,0.0011361898649409753,0.005456959738536882,0.17189282894781557
Post-Planting,Cocoyam,1. North Central,0.010717817559894491,0.004884491370011488,0.4557356329976167,0.0011442144746719746,0.020291420645117006,0.5588576299087842
Post-Planting,Coffee,1. North Central,1.5436804804442022e-4,6.272589608676933e-5,0.40633989275241483,3.1425291714352345e-5,2.773108043744881e-4,0.008049191076601911
Post-Planting,Dry pepper,1. North Central,0.002597190349284775,4.247129248894339e-4,0.1635278388456946,0.0017647530165014842,0.0034296276820680654,0.13542492535556325
Post-Planting,Duck,1. North Central,0.00132053776163233,0.0013124932631324395,0.9939081647389268,0,0.0038930245573719118,0.06885661185654292
Post-Planting,Fish - dried,1. North Central,0.0384913522107285,0.0041715809736925825,0.10837709599949724,0.030315053502291037,0.04666765091916596,2.0070490795594145
Post-Planting,Fish - fresh,1. North Central,0.08800445760759265,0.04634061146737442,0.5265711843143767,0,0.1788320560836465,4.588803860967331
Post-Planting,Fish - frozen,1. North Central,0.035597628938420035,0.007692182684425288,0.21608693932205186,0.02052095087694647,0.0506743069998936,1.8561620803604733
Post-Planting,Fish - smoked,1. North Central,0.03595007552419203,0.005824779306018563,0.1620241187559918,0.024533508084395646,0.04736664296398841,1.8745396523328701
Post-Planting,Fresh milk,1. North Central,0.014034564476675773,0.006501312469432504,0.46323578335737603,0.0012919920365880664,0.026777136916763478,0.7318022905695224
Post-Planting,Fresh pepper,1. North Central,0.07853146128990963,0.008077010636989405,0.1028506346924071,0.0627005204414104,0.09436240213840887,4.094854767259574
Post-Planting,Fruit juice,1. North Central,0,0,NA,0,0,0
Post-Planting,Garden eggs/Eggplant,1. North Central,0.01760470388560532,0.002783053124098176,0.1580857674279753,0.012149919762372896,0.023059488008837746,0.9179595597494202
Post-Planting,Gari - white,1. North Central,0.15874782909824384,0.015341818608266255,0.09664269864611318,0.12867786462604197,0.1888177935704457,8.277565374408429
Post-Planting,Gari - yellow,1. North Central,0.026673970024165394,0.007072822443803376,0.26515822119451,0.012811238034310776,0.040536702014020015,1.3908570084029097
Post-Planting,Gin,1. North Central,5.66481517837579e-4,2.639676512299528e-4,0.46597751721466996,4.9104921426871445e-5,0.0010838581142482867,0.029537964858673764
Post-Planting,Goat,1. North Central,0.048904252756026514,0.02477038863045411,0.5065078645415277,3.5429104033646297e-4,0.09745421447171657,2.550007465135668
Post-Planting,Ground pepper,1. North Central,0.002042720963536697,3.8289901507594827e-4,0.18744557965127553,0.0012922388939878384,0.0027932030330855557,0.10651330738441349
Post-Planting,Groundnut oil,1. North Central,0.05031644039265489,0.005752271878681072,0.1143219161330176,0.03904198751043999,0.061590893274869794,2.623642963331291
Post-Planting,Groundnuts - shelled,1. North Central,0.012537375631673418,0.0022262993308852096,0.17757299424457426,0.008173828943138409,0.016900922320208428,0.6537345865086853
Post-Planting,Groundnuts - unshelled,1. North Central,0.05163941623237296,0.008876223552389503,0.17188853399208184,0.03424201806968953,0.06903681439505639,2.692626703545162
Post-Planting,Guava,1. North Central,0.0029607198267241263,0.0016147482907311404,0.5453904405800432,0,0.006125626476557161,0.15438039096490086
Post-Planting,Guinea corn / sorghum,1. North Central,0.30791201880274155,0.03209789481243463,0.10424372175286079,0.24500014497036968,0.3708238926351134,16.055412409000095
Post-Planting,Honey,1. North Central,0.0020202262489050537,0.001066238871075535,0.5277819113841471,0,0.004110054436213102,0.10534036869290637
Post-Planting,Kola nut,1. North Central,8.833457222859772e-4,3.064541936065781e-4,0.346924410086593,2.826955028170842e-4,0.0014839959417548704,0.04606016980491167
Post-Planting,Leaves,1. North Central,0.05311886620650964,0.009967103253546753,0.18763772582791494,0.03358334382955801,0.07265438858346128,2.769769452196574
Post-Planting,Local eggs,1. North Central,0.0014398985241336358,4.7432805455096687e-4,0.32941769617852934,5.102155372137408e-4,0.002369581511053531,0.07508042304411101
Post-Planting,Maize - shelled/off cob,1. North Central,0.03563014805048213,0.007907439788939239,0.22193115161171043,0.020131566064161225,0.051128730036803044,1.8578577197751398
Post-Planting,Maize - unshelled/on cob,1. North Central,0.22759287840844175,0.03375970526119357,0.14833375058690487,0.16142385609650237,0.2937619007203811,11.867342945583035
Post-Planting,Maize flour,1. North Central,0.37626849806195095,0.04440911606953642,0.11802507065639242,0.28922663056565956,0.46331036555824234,19.619714541801727
Post-Planting,Malt drinks,1. North Central,0.017699362683558355,0.002979618302328365,0.16834607864701542,0.01185931081099476,0.02353941455612195,0.9228953399283999
Post-Planting,Mangoes,1. North Central,0.011886723511704443,0.0053732080160203135,0.45203440718794397,0.001355235800304628,0.022418211223104258,0.6198077259674459
Post-Planting,Meat pie/Sausage roll,1. North Central,0.0013618922811236072,7.428186469204338e-4,0.5454312776540471,0,0.0028178168290876574,0.07101295465858809
Post-Planting,Melon - ground,1. North Central,0.0035799224528171732,7.113011943513374e-4,0.19869178836306586,0.002185772111888552,0.004974072793745794,0.1866673850397526
Post-Planting,Melon - shelled,1. North Central,0.010784679069036246,0.002231633281089933,0.20692625777777168,0.0064106778380999775,0.015158680299972513,0.5623439800283185
Post-Planting,Melon - unshelled,1. North Central,8.764599385089024e-4,4.341024514078138e-4,0.49529069422880934,2.5619133749587414e-5,0.0017273007432682176,0.04570112536510706
Post-Planting,Milk - tinned,1. North Central,9.268454771265548e-4,3.4424021143874243e-4,0.3714105748306291,2.521346627066196e-4,0.00160155629154649,0.04832837130731321
Post-Planting,Milk powder,1. North Central,0.004015847314375854,7.503642295110742e-4,0.18685078658865706,0.0025451334245341485,0.005486561204217559,0.20939775282102666
Post-Planting,Millet,1. North Central,0.11905166782114403,0.020539220283983514,0.17252358291057618,0.07879479606453635,0.1593085395777517,6.207694107816796
Post-Planting,Mutton,1. North Central,0.00460946683996597,0.001351795871550014,0.2932651255519161,0.001959946931727942,0.007258986748203997,0.24035077094108268
Post-Planting,Ogbono - ground,1. North Central,9.195026925850909e-4,2.0629032837516428e-4,0.2243498904774269,5.151736489697689e-4,0.0013238317362004128,0.04794549754193689
Post-Planting,Ogbono - unground,1. North Central,0.001199525016759395,3.4301766534641385e-4,0.2859612434537641,5.272103926804238e-4,0.001871839640838366,0.06254666158816845
Post-Planting,Okra - dried,1. North Central,0.003113339355668975,6.03153927432511e-4,0.19373215012178108,0.0019311576579012532,0.004295521053436696,0.16233840925988227
Post-Planting,Okra - fresh,1. North Central,0.08297201464926686,0.00764240542221037,0.09210823016068465,0.06799290002173454,0.09795112927679918,4.3263979067117715
Post-Planting,Onions,1. North Central,0.16904347248644314,0.009238384244204442,0.05465093746784773,0.15093623936780243,0.18715070560508384,8.814409636793107
Post-Planting,Orange/Tangerine,1. North Central,0.08707137965180647,0.02944330142355698,0.3381513137990816,0.029362508861634794,0.14478025044197815,4.540150510415623
Post-Planting,Other alcoholic beverages,1. North Central,4.016439843942808e-4,4.0714663441003356e-4,1.0137003172699108,0,0.0011996513878379466,0.020942864900558928
Post-Planting,Other domestic poultry,1. North Central,0,0,NA,0,0,0
Post-Planting,Other eggs,1. North Central,0,0,NA,0,0,0
Post-Planting,Other fish/seafood,1. North Central,0,0,NA,0,0,0
Post-Planting,Other fruits,1. North Central,0,0,NA,0,0,0
Post-Planting,Other grains/flour,1. North Central,0.0014734379246883773,9.866709983928836e-4,0.6696386606185383,0,0.003407313081538429,0.07682926321589396
Post-Planting,Other meat,1. North Central,0,0,NA,0,0,0
Post-Planting,Other milk products,1. North Central,2.666265608604718e-4,2.6932426145321806e-4,1.0101178989221482,0,7.945021133087791e-4,0.013902670673438885
Post-Planting,Other non-alcoholic drinks,1. North Central,5.289986833132195e-4,3.8063320318396923e-4,0.7195352563072388,0,0.0012750397615537991,0.02758350277276073
Post-Planting,Other nuts/seeds/pulses,1. North Central,2.864710018239392e-4,2.7863217115636595e-4,0.9726365648960487,0,8.325900572904166e-4,0.014937416523676831
