product,zone,estimate_kg_person_year,se,cv,ci_low,ci_high
Other alcoholic beverages,2. North East,0.07109264073578987,0.07165646233015162,1.0079308011142412,0,0.21153930690288703
Other domestic poultry,2. North East,0,0,NA,0,0
Other eggs,2. North East,0,0,NA,0,0
Other fish/seafood,2. North East,0,0,NA,0,0
Other fruits,2. North East,0,0,NA,0,0
Other grains/flour,2. North East,0,0,NA,0,0
Other meat,2. North East,0,0,NA,0,0
Other non-alcoholic drinks,2. North East,0.019126910532853224,0.015798363514758045,0.8259757103805175,0,0.05009170302177899
Other nuts/seeds/pulses,2. North East,0.02538458611486435,0.025401150202419925,1.000652525413675,0,0.0751708405116074
Other oil/fat,2. North East,0.13246353645773404,0.07902983138495184,0.5966157442140191,0,0.28736200597223965
Other spices,2. North East,1.135649138574754,0.11109357605831559,0.09782385446770879,0.9179057295004555,1.3533925476490525
Other vegetables,2. North East,0.08573199103509865,0.04820720593265298,0.5623012524334932,0,0.1802181146630985
Palm oil,2. North East,3.4170311451930373,0.2855573980603334,0.08356886019667857,2.8573386449947837,3.976723645391291
Palm wine,2. North East,0.10329832374379007,0.06203126571924231,0.6005060244065327,0,0.22487960455350497
Pawpaw,2. North East,0.028783580690199213,0.020903346116561618,0.7262246605641803,0,0.06975413907865999
Pineapples,2. North East,0.5041698397495734,0.409998312590348,0.81321467542366,0,1.3077665324266556
Pito,2. North East,0.0818839726923888,0.04405967951918019,0.5380745226504574,0,0.16824094454998195
Plantains,2. North East,0.05346701366380478,0.046171845879151754,0.8635575977644027,0,0.1439638315869422
Pork,2. North East,0.06133465726322737,0.03605596759443088,0.5878563475082448,0,0.13200435374831188
Potatoes,2. North East,0.17451311258681537,0.10206316953665479,0.5848452762303533,0,0.37455692487865877
Rice - imported,2. North East,0.23461794392077676,0.18979106496110743,0.8089366984871115,0,0.6066084312445473
Rice - local,2. North East,19.3072975484589,1.3808193755529918,0.07151800359875886,16.600891572375037,22.013703524542766
Sachet water,2. North East,21.821078434172684,5.672312633881074,0.2599464848170842,10.70334567176578,32.938811196579586
Salt,2. North East,1.2152652553324361,0.07203554437017558,0.059275573010988646,1.074075588366892,1.3564549222979803
Seafood,2. North East,0.0020596783410686673,0.0020672012452323824,1.0036524655397463,0,0.006111392781724137
Snails,2. North East,0,0,NA,0,0
Soft drinks,2. North East,1.7414177306332899,0.46954097090049685,0.2696314403148646,0.8211174276683161,2.6617180335982638
Soya beans,2. North East,1.0936202921426224,0.2547477542861235,0.23293985683735016,0.5943146937418202,1.5929258905434245
Sugar,2. North East,1.1209552809037102,0.11129184266794956,0.0992830352502791,0.902823269274529,1.3390872925328914
Sweet potatoes,2. North East,6.888324488023188,0.8736478830194172,0.1268302450818685,5.1759746373051305,8.600674338741246
Tea,2. North East,0.0979083173361528,0.02066811742189262,0.21109664617084464,0.057398807189243256,0.13841782748306233
Tomato puree - canned,2. North East,0.1669723579851938,0.0360243943362047,0.21575064741793457,0.0963645450862326,0.237580170884155
Tomatoes,2. North East,3.474900136282748,0.2903016075505534,0.08354243177218372,2.9059089854836633,4.043891287081832
Watermelon,2. North East,3.4419618548668107,0.5998757790024205,0.1742830990861266,2.2662053280220666,4.617718381711555
Wheat flour,2. North East,0.48442150597191824,0.16361563052587177,0.33775467956898786,0.16373487014120958,0.8051081418026269
White beans,2. North East,7.468911157261521,0.5588385796996942,0.07482196105069117,6.373587541050121,8.564234773472922
Wild game/Bush meat,2. North East,0.06506797025821308,0.026324480235469655,0.4045689473792507,0.013471988996692559,0.1166639515197336
Yam flour,2. North East,0.019449074704198245,0.013836055372545652,0.7113991582108029,0,0.046567743234387726
Yam roots,2. North East,12.445900581771038,1.979710271671997,0.1590652487270862,8.565668449293923,16.326132714248153
Agricultural eggs,3. North West,0.18938847219014696,0.04552739484998148,0.24039158415234352,0.10015477828418326,0.2786221660961107
Animal fat,3. North West,0.022991902066256474,0.019745476221385387,0.8588013364220254,0,0.06169303546017183
Apples,3. North West,0.005951149910180879,0.004237803549572482,0.7120982689954921,0,0.014257244867342943
Avocado pear,3. North West,0,0,NA,0,0
Baby milk powder,3. North West,0.0045800664816522075,0.004615886722400613,1.007820899738443,0,0.013627204457557409
Bananas,3. North West,1.2211653095455346,0.23502061624259063,0.192456020823303,0.760524901710057,1.6818057173810121
Beef,3. North West,1.617878407508904,0.15987887236090023,0.098820079196848,1.3045158176815397,1.9312409973362685
Beer,3. North West,0,0,NA,0,0
Biscuits,3. North West,0.1335522351686062,0.021492823633172082,0.16093196498012896,0.09142630084758893,0.17567816948962348
Bottled water,3. North West,0.13856163893951032,0.07777029019331809,0.5612685501451744,0,0.2909914077184138
Bread,3. North West,5.045378034321829,0.4160326447433999,0.082458171005876,4.229954050624766,5.860802018018893
Brown beans,3. North West,0.2556671683994178,0.10319709288499687,0.40363842385807047,0.05340086634482391,0.45793347045401167
Buns/Pofpof/Donuts,3. North West,0.01679672656831289,0.007558407969348242,0.4499929160963551,0.0019822469483903368,0.031611206188235444
Butter/Margarine,3. North West,0.0023344858330840287,0.0023591123764647444,1.0105490224150053,0,0.006958346090954927
Cake,3. North West,0.020572873206875102,0.013311397599472636,0.6470363894054524,0,0.04666321250184147
Canned fish/seafood,3. North West,0,0,NA,0,0
Cashew nut,3. North West,0.016661285998948127,0.0132984557677902,0.7981650257146878,0,0.04272625930381692
Cassava flour,3. North West,1.1398554142354091,0.21490448582783628,0.1885366188938881,0.7186426220128501,1.5610682064579682
